,control,percent
total,8,100.0
failed lines test,0,0.0
failed replacement test,0,0.0
passed all tests,8,100.0
Runs with replaced nans,0,0.0
Runs with replaced bound,0,0.0
Runs with replaced spikes,8,100.0
