,control,percent
total,7,100.0
failed lines test,0,0.0
failed NaNs test,0,0.0
failed boundaries test,0,0.0
failed spikes test,0,0.0
failed replacement test,0,0.0
failed STD test,6,85.71428571428571
failed maxdif test,1,14.285714285714286
failed RAT test,0,0.0
passed all tests,0,0.0
Runs with replaced nans,0,0.0
Runs with replaced bound,0,0.0
Runs with replaced spikes,7,100.0
